Rank. Name Team - ELIG. POS.
651. Guillermo Heredia Pit - OF
652. Daniel Robertson TB - 2B,3B,SS
653. Juan Lagares NYM - OF
654. Cheslor Cuthbert CWS - 1B,3B
655. José Osuna Pit - 1B,3B,OF
656. Pedro Severino Bal - C
657. Jose Trevino Tex - C
658. Mike Zunino TB - C
659. Josh Phegley ChC - C
66. Drew Pomeranz SD - SP,RP
660. Curt Casali Cin - C
661. Austin Hedges SD - C
662. Victor Caratini ChC - C,1B
663. Chris Davis Bal - 1B
664. Charlie Culberson Atl - 1B,SS,OF
665. Sandy León Cle - C
666. Michael Lorenzen (Batter) Cin - OF
667. Brendan McKay (Batter) TB - 1B
668. Denard Span Sea - OF
669. Sean Rodríguez Mia - 3B,SS,OF
67. Michael Conforto NYM - OF
670. Matt Joyce Mia - OF
671. Gregorio Petit Phi - 2B,SS
672. Nick Hundley Phi - C
673. Travis Snider Ari - OF
674. Pablo Sandoval SF - 1B,3B
675. Wilkin Castillo Mia - C
676. Casey McGehee Det - 1B,3B
677. Francisco Cervelli Mia - C
678. Matt Wieters StL - C
679. Austin Jackson NYM - OF
68. Vladimir Guerrero Jr. Tor - 3B
680. Gordon Beckham SD - 2B,3B,SS
681. Everth Cabrera CWS - SS
682. Shane Robinson Phi - OF
683. Chris Coghlan Tor - 3B,OF
684. Jose Lobaton Sea - C
685. Alex Avila Min - C
686. Josh Thole LAD - C
687. Neil Walker Phi - 1B,3B
688. Chris Johnson CWS - 1B,3B
689. Adam Moore Tex - C
69. Edwin Díaz NYM - RP
690. Juan Francisco TB - 1B,3B
691. Jonathan Lucroy Bos - C
692. Brandon Snyder Was - 3B
693. Zack Cozart SF - 3B
694. Logan Morrison Mil - 1B
695. Jesús Montero Tor - 1B
696. Pedro Álvarez Mia - 1B,3B
697. Jose Tabata Tor - OF
698. Dustin Ackley Sea - OF
699. Desmond Jennings Cin - OF
7. Cody Bellinger LAD - 1B,OF
70. Marcus Semien Oak - SS
700. Yonder Alonso Atl - 1B
71. Zack Greinke Hou - SP
72. Anthony Rizzo ChC - 1B
73. Starling Marte Ari - OF
74. Will Harris Was - RP
75. Will Smith Atl - RP
76. Eloy Jiménez CWS - OF
77. Kenley Jansen LAD - RP
78. Jeff McNeil NYM - 2B,3B,OF
79. Tyler Duffey Min - RP
8. Freddie Freeman Atl - 1B
80. Giovanny Gallegos StL - RP
81. Eduardo Escobar Ari - 2B,3B
82. Ken Giles Tor - RP
83. Adam Ottavino NYY - RP
84. Emilio Pagán SD - RP
85. Hunter Dozier KC - 1B,3B,OF
86. Andrew Benintendi Bos - OF
87. Manny Machado SD - 3B,SS
88. Michael Brantley Hou - OF
89. Liam Hendriks Oak - RP
9. Alex Bregman Hou - 3B,SS
90. Zack Britton NYY - RP
91. Hansel Robles LAA - RP
92. Ian Kennedy KC - RP
93. Max Muncy LAD - 1B,2B,3B
94. Josh Donaldson Min - 3B
95. Yusmeiro Petit Oak - RP
96. Ryan Pressly Hou - RP
97. Chris Paddack SD - SP
98. Rafael Montero Tex - RP
99. Luis Castillo Cin - SP
